z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayModes,massExcess(keV),massExcessUncertainty,betaMinus(keV),betaMinusUncertainty,positronEmission(keV),positronEmissionUncertainty,neutronSeparationEnergy(keV),neutronSeparationEnergyUncertainty,protonSeparationEnergy(keV),protonSeparationEnergyUncertainty,alpha(keV),alphaUncertainty,twoNeutronSeparationEnergy(keV),twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy(keV),twoProtonSeparationEnergyUncertainty,bindingEnergy(keV),bindingEnergyUncertainty
26,40,66Fe,0.0,351,ms,6,0+,BN ? ,-50068,4,6341,15,-14339,12,6921,7,16389,6,-11640,5,11241,6,3.10E+4,3,8521.72,6
26,43,69Fe,0.0,162,ms,7,1/2-,B- = 100.00,-3.920E+4,20,1.119E+4,22,-1.49E+4,4,3.4E+3,3,1.76E+4,4,-1.33E+4,3,9.63E+3,20,3.45E+4,4,8345,3
26,43,69Fe,0.0,162,ms,7,1/2-,BN ? ,-3.920E+4,20,1.119E+4,22,-1.49E+4,4,3.4E+3,3,1.76E+4,4,-1.33E+4,3,9.63E+3,20,3.45E+4,4,8345,3
26,43,69Fe,0.0,162,ms,7,1/2-,B2N ? ,-3.920E+4,20,1.119E+4,22,-1.49E+4,4,3.4E+3,3,1.76E+4,4,-1.33E+4,3,9.63E+3,20,3.45E+4,4,8345,3
26,42,68Fe,0.0,188,ms,6,0+,B- = 100.00,-4.390E+4,19,7.75E+3,19,-1.60E+4,4,6.26E+3,19,1.76E+4,3,-1.27E+4,4,9.97E+3,19,3.33E+4,4,8418,3
26,42,68Fe,0.0,188,ms,6,0+,BN ? ,-4.390E+4,19,7.75E+3,19,-1.60E+4,4,6.26E+3,19,1.76E+4,3,-1.27E+4,4,9.97E+3,19,3.33E+4,4,8418,3
26,19,45Fe,0.0,2.45,ms,23,(3/2+),2P = 70.00,1.44E+4,3,,,1.84E+4,4,,,3.E+2,4,-8.4E+3,5,,,-1.80E+3,20,7299,6
26,19,45Fe,0.0,2.45,ms,23,(3/2+),EC = 30.00,1.44E+4,3,,,1.84E+4,4,,,3.E+2,4,-8.4E+3,5,,,-1.80E+3,20,7299,6
26,19,45Fe,0.0,2.45,ms,23,(3/2+),EP = 19.00,1.44E+4,3,,,1.84E+4,4,,,3.E+2,4,-8.4E+3,5,,,-1.80E+3,20,7299,6
26,19,45Fe,0.0,2.45,ms,23,(3/2+),E2P = 7.80,1.44E+4,3,,,1.84E+4,4,,,3.E+2,4,-8.4E+3,5,,,-1.80E+3,20,7299,6
26,19,45Fe,0.0,2.45,ms,23,(3/2+),E3P = 3.30,1.44E+4,3,,,1.84E+4,4,,,3.E+2,4,-8.4E+3,5,,,-1.80E+3,20,7299,6
26,23,49Fe,0.0,64.7,ms,3,(7/2-),EC = 100.00,-24751,24,-1.50E+4,5,11847,24,1.481E+4,10,2.74E+3,3,-7.66E+3,4,3.38E+4,5,4766,25,8161.3,5
26,23,49Fe,0.0,64.7,ms,3,(7/2-),EP = 56.70,-24751,24,-1.50E+4,5,11847,24,1.481E+4,10,2.74E+3,3,-7.66E+3,4,3.38E+4,5,4766,25,8161.3,5
26,22,48Fe,0.0,45.3,ms,6,0+,EC = 100.00,-1.801E+4,9,-1.97E+4,5,1.027E+4,9,1.90E+4,5,2.73E+3,10,-7.01E+3,11,3.54E+4,3,3.11E+3,9,8022.7,19
26,22,48Fe,0.0,45.3,ms,6,0+,EP = 15.90,-1.801E+4,9,-1.97E+4,5,1.027E+4,9,1.90E+4,5,2.73E+3,10,-7.01E+3,11,3.54E+4,3,3.11E+3,9,8022.7,19
26,25,51Fe,0.0,305,ms,5,5/2-,EC = 100.00,-40189.2,14,-1.285E+4,5,7032.0,14,13784,8,4851.3,14,-8051,5,31581,24,9435,3,8460.50,3
26,24,50Fe,0.0,155,ms,11,0+,EC = 100.00,-34476,8,-1.689E+4,13,7128,8,1.780E+4,3,4146,9,-7430,14,3.261E+4,9,6233,11,8354.03,17
26,24,50Fe,0.0,155,ms,11,0+,EP ? ,-34476,8,-1.689E+4,13,7128,8,1.780E+4,3,4146,9,-7430,14,3.261E+4,9,6233,11,8354.03,17
26,27,53Fe,0.0,8.51,m,2,7/2-,EC = 100.00,-50947.5,17,-8288.1,4,2720.9,17,10686.7,17,7525.1,17,-8040,3,26900.9,22,14074.7,17,8648.80,3
26,27,53Fe,3.0404,2.54,m,2,19/2-,IT = 100.00,-47907.1,17,-8288.1,4,2720.9,17,10686.7,17,7525.1,17,-8040,3,26900.9,22,14074.7,17,8648.80,3
26,26,52Fe,0.0,8.275,h,8,0+,EC = 100.00,-48332.09,18,-13988,5,1357.29,15,16214.2,14,7377.8,3,-7936,7,29998,8,12648.67,17,8609.608,4
26,26,52Fe,6.9580,45.9,s,6,12+,EC = 100.00,-41374.09,18,-13988,5,1357.29,15,16214.2,14,7377.8,3,-7936,7,29998,8,12648.67,17,8609.608,4
26,26,52Fe,6.9580,45.9,s,6,12+,IT LT 4.0E-3,-41374.09,18,-13988,5,1357.29,15,16214.2,14,7377.8,3,-7936,7,29998,8,12648.67,17,8609.608,4
26,29,55Fe,0.0,2.744,y,9,3/2-,EC = 100.00,-57481.4,3,-3451.4,3,-790.88,18,9298.12,19,9212.1,10,-8455.6,3,22676.6,16,16771.7,3,8746.598,6
26,28,54Fe,0.0,STABLE,,,0+,,-56254.6,3,-8244.55,9,-1718.4,11,13378.5,16,8853.2,5,-8418.2,3,24065.2,4,15413.0,3,8736.385,6
26,21,47Fe,0.0,21.9,ms,2,(7/2-),EC = 100.00,-7.1E+3,5,-1.77E+4,8,1.44E+4,5,1.64E+4,6,2.0E+3,5,-7.6E+3,5,3.77E+4,6,2.2E+3,5,7790,11
26,21,47Fe,0.0,21.9,ms,2,(7/2-),EP = 88.4,-7.1E+3,5,-1.77E+4,8,1.44E+4,5,1.64E+4,6,2.0E+3,5,-7.6E+3,5,3.77E+4,6,2.2E+3,5,7790,11
26,21,47Fe,0.0,21.9,ms,2,(7/2-),E2P  ,-7.1E+3,5,-1.77E+4,8,1.44E+4,5,1.64E+4,6,2.0E+3,5,-7.6E+3,5,3.77E+4,6,2.2E+3,5,7790,11
26,20,46Fe,0.0,13.0,ms,20,0+,EC = 100.00,1.2E+3,3,,,1.26E+4,3,2.13E+4,4,1.1E+3,4,-8.3E+3,4,,,0,AP,7603,7
26,20,46Fe,0.0,13.0,ms,20,0+,EP = 78.70,1.2E+3,3,,,1.26E+4,3,2.13E+4,4,1.1E+3,4,-8.3E+3,4,,,0,AP,7603,7
26,50,76Fe,,,,,,,-1.06E+4,6,1.51E+4,8,,,4.0E+3,8,,,,,6.1E+3,8,,,7943,8
27,47,74Co,0.0,31.4,ms,15,0+,B- = 100.00,-3.35E+4,4,1.52E+4,4,-1.39E+4,6,3.6E+3,5,1.68E+4,6,-1.55E+4,6,9.4E+3,5,3.69E+4,7,8239,5
27,47,74Co,0.0,31.4,ms,15,0+,BN = 18.00,-3.35E+4,4,1.52E+4,4,-1.39E+4,6,3.6E+3,5,1.68E+4,6,-1.55E+4,6,9.4E+3,5,3.69E+4,7,8239,5
27,47,74Co,0.0,31.4,ms,15,0+,B2N ? ,-3.35E+4,4,1.52E+4,4,-1.39E+4,6,3.6E+3,5,1.68E+4,6,-1.55E+4,6,9.4E+3,5,3.69E+4,7,8239,5
27,47,74Co,0.0,31.4,ms,15,0+,B3N ? ,-3.35E+4,4,1.52E+4,4,-1.39E+4,6,3.6E+3,5,1.68E+4,6,-1.55E+4,6,9.4E+3,5,3.69E+4,7,8239,5
27,48,75Co,0.0,26.5,ms,12,(7/2-),B- = 100.00,-3.06E+4,4,1.37E+4,4,-1.69E+4,7,5.1E+3,6,1.72E+4,6,-1.64E+4,6,8.7E+3,5,3.84E+4,7,8197,5
27,48,75Co,0.0,26.5,ms,12,(7/2-),BN LT 16.00,-3.06E+4,4,1.37E+4,4,-1.69E+4,7,5.1E+3,6,1.72E+4,6,-1.64E+4,6,8.7E+3,5,3.84E+4,7,8197,5
27,48,75Co,0.0,26.5,ms,12,(7/2-),B2N ? ,-3.06E+4,4,1.37E+4,4,-1.69E+4,7,5.1E+3,6,1.72E+4,6,-1.64E+4,6,8.7E+3,5,3.84E+4,7,8197,5
27,48,75Co,0.0,26.5,ms,12,(7/2-),B3N ? ,-3.06E+4,4,1.37E+4,4,-1.69E+4,7,5.1E+3,6,1.72E+4,6,-1.64E+4,6,8.7E+3,5,3.84E+4,7,8197,5
27,45,72Co,0.0,57.3,ms,20,(6-:7-),B- = 100.00,-4.03E+4,3,1.39E+4,3,-1.21E+4,6,4.0E+3,6,1.57E+4,5,-1.38E+4,4,9.9E+3,3,3.44E+4,6,8338,4
27,45,72Co,0.0,57.3,ms,20,(6-:7-),BN AP 4.00,-4.03E+4,3,1.39E+4,3,-1.21E+4,6,4.0E+3,6,1.57E+4,5,-1.38E+4,4,9.9E+3,3,3.44E+4,6,8338,4
27,45,72Co,0.0,57.3,ms,20,(6-:7-),B2N ? ,-4.03E+4,3,1.39E+4,3,-1.21E+4,6,4.0E+3,6,1.57E+4,5,-1.38E+4,4,9.9E+3,3,3.44E+4,6,8338,4
27,46,73Co,0.0,40.5,ms,13,,B- = 100.00,-3.80E+4,3,1.21E+4,3,-1.50E+4,6,5.7E+3,4,1.60E+4,6,-1.50E+4,5,9.7E+3,6,3.59E+4,6,8302,4
27,46,73Co,0.0,40.5,ms,13,,BN LT 7.90,-3.80E+4,3,1.21E+4,3,-1.50E+4,6,5.7E+3,4,1.60E+4,6,-1.50E+4,5,9.7E+3,6,3.59E+4,6,8302,4
27,46,73Co,0.0,40.5,ms,13,,B2N ? ,-3.80E+4,3,1.21E+4,3,-1.50E+4,6,5.7E+3,4,1.60E+4,6,-1.50E+4,5,9.7E+3,6,3.59E+4,6,8302,4
27,46,73Co,0.0,40.5,ms,13,,B3N ? ,-3.80E+4,3,1.21E+4,3,-1.50E+4,6,5.7E+3,4,1.60E+4,6,-1.50E+4,5,9.7E+3,6,3.59E+4,6,8302,4
27,49,76Co,0.0,21.7,ms,+65-4,,B- = 100.00,-2.57E+4,5,1.65E+4,6,-1.61E+4,8,3.2E+3,6,1.82E+4,8,-1.69E+4,8,8.3E+3,6,,,8131,7
27,49,76Co,0.0,21.7,ms,+65-4,,B2N ? ,-2.57E+4,5,1.65E+4,6,-1.61E+4,8,3.2E+3,6,1.82E+4,8,-1.69E+4,8,8.3E+3,6,,,8131,7
27,49,76Co,0.0,21.7,ms,+65-4,,B3N ? ,-2.57E+4,5,1.65E+4,6,-1.61E+4,8,3.2E+3,6,1.82E+4,8,-1.69E+4,8,8.3E+3,6,,,8131,7
27,49,76Co,0.0,21.7,ms,+65-4,,BN ? ,-2.57E+4,5,1.65E+4,6,-1.61E+4,8,3.2E+3,6,1.82E+4,8,-1.69E+4,8,8.3E+3,6,,,8131,7
27,40,67Co,0.0,329,ms,28,(7/2-),B- = 100.00,-55322,6,8421,7,-10635,7,6985,15,12543,8,-10860,7,12279,7,28932,7,8581.74,10
27,40,67Co,0.0,329,ms,28,(7/2-),BN ? ,-55322,6,8421,7,-10635,7,6985,15,12543,8,-10860,7,12279,7,28932,7,8581.74,10
27,40,67Co,0.0491,496,ms,33,(1/2-),B- LT 20.00,-55273,6,8421,7,-10635,7,6985,15,12543,8,-10860,7,12279,7,28932,7,8581.74,10
27,40,67Co,0.0491,496,ms,33,(1/2-),BN ? ,-55273,6,8421,7,-10635,7,6985,15,12543,8,-10860,7,12279,7,28932,7,8581.74,10
27,43,70Co,0.0,14,ms,7,(6-),B- = 100.00,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,43,70Co,0.0,14,ms,7,(6-),BN ? ,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,43,70Co,0.0,14,ms,7,(6-),B2N ? ,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,43,70Co,0.0,0.50,s,18,(3+),B- = 100.00,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,43,70Co,0.0,0.50,s,18,(3+),BN  ,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,43,70Co,0.0,0.50,s,18,(3+),2BN  ,-46525,11,12689,11,-1.07E+4,3,4.21E+3,9,1.462E+4,20,-12199,16,11025,12,3.22E+4,3,8434.20,16
27,44,71Co,0.0,80,ms,3,(7/2-),B- = 100.00,-4.44E+4,5,1.10E+4,5,-1.35E+4,6,5.9E+3,5,1.48E+4,6,-1.32E+4,5,1.01E+4,5,3.36E+4,6,8399,7
27,44,71Co,0.0,80,ms,3,(7/2-),BN LT 3.60,-4.44E+4,5,1.10E+4,5,-1.35E+4,6,5.9E+3,5,1.48E+4,6,-1.32E+4,5,1.01E+4,5,3.36E+4,6,8399,7
27,41,68Co,0.0,99,ms,30,(7-),B- = 100.00,-51643,4,11821,5,-8.77E+3,19,4392,8,13223,5,-11078,5,11377,14,29470,12,8520.13,6
27,41,68Co,0.0,99,ms,30,(7-),BN ? ,-51643,4,11821,5,-8.77E+3,19,4392,8,13223,5,-11078,5,11377,14,29470,12,8520.13,6
27,41,68Co,0.0,1.6,s,3,(1+),B- = 100.00,-51643,4,11821,5,-8.77E+3,19,4392,8,13223,5,-11078,5,11377,14,29470,12,8520.13,6
27,41,68Co,0.0,1.6,s,3,(1+),BN ? ,-51643,4,11821,5,-8.77E+3,19,4392,8,13223,5,-11078,5,11377,14,29470,12,8520.13,6
27,42,69Co,0.0,180,ms,20,7/2-,B- = 100.00,-5.039E+4,9,9.59E+3,9,-1.221E+4,22,6.81E+3,9,1.378E+4,21,-1.184E+4,9,1.121E+4,9,3.138E+4,22,8495.4,12
27,42,69Co,0.0,180,ms,20,7/2-,BN ? ,-5.039E+4,9,9.59E+3,9,-1.221E+4,22,6.81E+3,9,1.378E+4,21,-1.184E+4,9,1.121E+4,9,3.138E+4,22,8495.4,12
27,42,69Co,0.0,750,ms,250,(1/2-),B- = 100.00,-5.039E+4,9,9.59E+3,9,-1.221E+4,22,6.81E+3,9,1.378E+4,21,-1.184E+4,9,1.121E+4,9,3.138E+4,22,8495.4,12
27,42,69Co,0.0,750,ms,250,(1/2-),BN ? ,-5.039E+4,9,9.59E+3,9,-1.221E+4,22,6.81E+3,9,1.378E+4,21,-1.184E+4,9,1.121E+4,9,3.138E+4,22,8495.4,12
27,50,77Co,0.0,13.0,ms,+72-4,,B- = 100.00,-2.19E+4,6,1.54E+4,7,,,4.3E+3,8,1.86E+4,8,-1.76E+4,8,7.5E+3,7,,,8082,8
27,50,77Co,0.0,13.0,ms,+72-4,,BN ? ,-2.19E+4,6,1.54E+4,7,,,4.3E+3,8,1.86E+4,8,-1.76E+4,8,7.5E+3,7,,,8082,8
27,50,77Co,0.0,13.0,ms,+72-4,,B2N ? ,-2.19E+4,6,1.54E+4,7,,,4.3E+3,8,1.86E+4,8,-1.76E+4,8,7.5E+3,7,,,8082,8
27,50,77Co,0.0,13.0,ms,+72-4,,B3N ? ,-2.19E+4,6,1.54E+4,7,,,4.3E+3,8,1.86E+4,8,-1.76E+4,8,7.5E+3,7,,,8082,8
27,51,78Co,,,,,,,-1.53E+4,7,1.96E+4,8,,,1.5E+3,9,,,,,5.8E+3,9,,,7997,9
27,25,52Co,0.0,104,ms,7,(6+),EC = 100.00,-34344,5,-1.178E+4,8,12966,5,1.507E+4,5,1444,5,-7472,9,3.290E+4,13,6295,5,8325.56,10
27,26,53Co,0.0,240,ms,20,(7/2-),EC = 100.00,-42659.4,17,-1.303E+4,3,7266.1,4,16387,6,1616.3,17,-7464,3,3.146E+4,5,8994.1,17,8477.66,3
27,26,53Co,3.1970,247,ms,12,(19/2-),EC AP 98.50,-39462.4,17,-1.303E+4,3,7266.1,4,16387,6,1616.3,17,-7464,3,3.146E+4,5,8994.1,17,8477.66,3
27,26,53Co,3.1970,247,ms,12,(19/2-),P AP 1.50,-39462.4,17,-1.303E+4,3,7266.1,4,16387,6,1616.3,17,-7464,3,3.146E+4,5,8994.1,17,8477.66,3
27,23,50Co,0.0,38.8,ms,2,(6+),EC = 100.00,-1.759E+4,13,-1.41E+4,5,1.587E+4,13,1.59E+4,5,1.3E+2,13,-7.60E+3,15,3.55E+4,5,2.87E+3,13,8001,3
27,23,50Co,0.0,38.8,ms,2,(6+),EP = 70.50,-1.759E+4,13,-1.41E+4,5,1.587E+4,13,1.59E+4,5,1.3E+2,13,-7.60E+3,15,3.55E+4,5,2.87E+3,13,8001,3
27,23,50Co,0.0,38.8,ms,2,(6+),E2P  ,-1.759E+4,13,-1.41E+4,5,1.587E+4,13,1.59E+4,5,1.3E+2,13,-7.60E+3,15,3.55E+4,5,2.87E+3,13,8001,3
27,24,51Co,0.0,200,ns,GT,(7/2-),EC  ,-2.734E+4,5,-1.57E+4,5,1.183E+4,5,1.782E+4,13,1.5E+2,5,-7.20E+3,6,3.37E+4,5,4.30E+3,5,8193.3,9
27,29,56Co,0.0,77.236,d,26,4+,EC = 100.00,-56040.5,5,-2132.9,4,3544.6,4,10081.8,5,5848.1,4,-7754.0,5,24173.1,5,15060.2,11,8694.839,9
27,27,54Co,0.0,193,ms,7,0+,EC = 100.00,-48010.1,4,-8732,5,7222.55,9,13422.0,17,4351.6,16,-7808.1,4,29809,5,11876.6,4,8569.220,7
27,27,54Co,0.1971,1.48,m,2,7+,EC = 100.00,-47813.0,4,-8732,5,7222.55,9,13422.0,17,4351.6,16,-7808.1,4,29809,5,11876.6,4,8569.220,7
27,28,55Co,0.0,17.53,h,3,7/2-,EC = 100.00,-54030.0,4,-8694.0,6,2429.4,3,14091.2,3,5064.4,3,-8211.7,5,27513.3,17,13917.6,5,8669.620,7
27,21,48Co,,,,,,,1.7E+3,5,-1.64E+4,7,1.87E+4,5,1.70E+4,8,-1.6E+3,7,-8.2E+3,6,,,4.E+2,5,7595,10
27,22,49Co,,,,,,,-9.8E+3,5,-1.83E+4,8,1.39E+4,5,1.96E+4,7,-9.E+2,5,-7.2E+3,6,3.65E+4,8,1.8E+3,5,7840,10
27,20,47Co,,,,,,,1.06E+4,6,,,1.67E+4,8,,,-2.1E+3,7,-9.2E+3,7,,,-1.0E+3,7,7396,13
27,36,63Co,0.0,27.4,s,5,7/2-,B- = 100.00,-61852,19,3661,19,-7238,19,8.50E+3,3,10262,19,-8751,19,15096,19,24687,19,8717.8,3
27,37,64Co,0.0,0.30,s,3,1+,B- = 100.00,-59792,20,7307,20,-5845,21,6.01E+3,3,11446,20,-9249,20,1.451E+4,3,25846,21,8675.5,3
27,34,61Co,0.0,1.649,h,5,7/2-,B- = 100.00,-62898.2,8,1323.9,8,-5000,3,9319.1,8,8774,3,-7836.8,17,16811.0,8,21950.8,25,8756.151,14
27,35,62Co,0.0,1.50,m,4,2+,B- = 100.00,-61424,19,5322,19,-3568,19,6598,19,9793,19,-8022,19,15917,19,23034,19,8721.3,3
27,35,62Co,0.0220,13.91,m,5,5+,B- AP 99.00,-61402,19,5322,19,-3568,19,6598,19,9793,19,-8022,19,15917,19,23034,19,8721.3,3
27,35,62Co,0.0220,13.91,m,5,5+,IT LT 1.00,-61402,19,5322,19,-3568,19,6598,19,9793,19,-8022,19,15917,19,23034,19,8721.3,3
27,38,65Co,0.0,1.16,s,3,(7/2)-,B- = 100.00,-59185.2,21,5940.6,21,-8989,6,7464,20,11505,5,-9868,3,13476,19,26876,4,8656.88,3
27,39,66Co,0.0,209,ms,19,(3+),B- = 100.00,-56409,14,9598,14,-7363,15,5295,14,12480,15,-10309,15,12759,24,27997,14,8605.94,21
27,39,66Co,0.0,209,ms,19,(3+),BN ? ,-56409,14,9598,14,-7363,15,5295,14,12480,15,-10309,15,12759,24,27997,14,8605.94,21
27,32,59Co,0.0,STABLE,,,7/2-,,-62229.8,4,-1073.01,19,-2586.9,4,10453.9,11,7363.5,4,-6942.2,3,19026.8,4,19321.5,16,8768.038,7
27,33,60Co,0.0,1925.28,d,14,5+,B- = 100.00,-61650.4,4,2822.81,21,-1259,3,7491.92,7,8274.5,4,-7163.7,4,17945.8,11,20401,3,8746.769,7
27,33,60Co,0.0586,10.467,m,6,2+,IT = 99.75,-61591.8,4,2822.81,21,-1259,3,7491.92,7,8274.5,4,-7163.7,4,17945.8,11,20401,3,8746.769,7
27,33,60Co,0.0586,10.467,m,6,2+,B- = 0.25,-61591.8,4,2822.81,21,-1259,3,7491.92,7,8274.5,4,-7163.7,4,17945.8,11,20401,3,8746.769,7
27,30,57Co,0.0,271.74,d,6,7/2-,EC = 100.00,-59345.7,5,-3261.7,6,-185.6,4,11376.5,6,6027.5,4,-7080.2,6,21458.3,5,16211.1,5,8741.885,9
27,31,58Co,0.0,70.86,d,6,2+,EC = 100.00,-59847.3,12,381.6,11,1286.0,11,8573.0,12,6954.2,11,-6714.0,15,19949.4,12,17513.6,11,8738.972,20
28,51,79Ni,0.0,43.0,ms,+86-75,,B- = 100.00,-2.82E+4,5,1.42E+4,5,,,1.4E+3,6,2.01E+4,9,-1.59E+4,8,7.0E+3,6,,,8150,6
28,51,79Ni,0.0,43.0,ms,+86-75,,BN ? ,-2.82E+4,5,1.42E+4,5,,,1.4E+3,6,2.01E+4,9,-1.59E+4,8,7.0E+3,6,,,8150,6
28,51,79Ni,0.0,43.0,ms,+86-75,,B2N ? ,-2.82E+4,5,1.42E+4,5,,,1.4E+3,6,2.01E+4,9,-1.59E+4,8,7.0E+3,6,,,8150,6
28,52,80Ni,0.0,24,ms,+26-17,,B- = 100.00,-2.32E+4,6,1.34E+4,7,,,3.2E+3,8,,,-1.51E+4,8,4.5E+3,7,,,8088,7
28,52,80Ni,0.0,24,ms,+26-17,,BN ? ,-2.32E+4,6,1.34E+4,7,,,3.2E+3,8,,,-1.51E+4,8,4.5E+3,7,,,8088,7
28,52,80Ni,0.0,24,ms,+26-17,,B2N ? ,-2.32E+4,6,1.34E+4,7,,,3.2E+3,8,,,-1.51E+4,8,4.5E+3,7,,,8088,7
28,52,80Ni,0.0,24,ms,+26-17,,B3N ? ,-2.32E+4,6,1.34E+4,7,,,3.2E+3,8,,,-1.51E+4,8,4.5E+3,7,,,8088,7
28,50,78Ni,0.0,122.2,ms,51,0+,B- = 100.00,-3.49E+4,4,9.9E+3,4,-2.06E+4,8,5.6E+3,6,2.03E+4,7,-1.66E+4,6,8.8E+3,5,3.89E+4,7,8238,5
28,50,78Ni,0.0,122.2,ms,51,0+,BN ? ,-3.49E+4,4,9.9E+3,4,-2.06E+4,8,5.6E+3,6,2.03E+4,7,-1.66E+4,6,8.8E+3,5,3.89E+4,7,8238,5
28,53,81Ni,,,,,,,-1.61E+4,7,1.58E+4,8,,,9.E+2,9,,,,,4.1E+3,9,,,8000,9
28,54,82Ni,,,,,,,-1.07E+4,8,1.50E+4,9,,,2.7E+3,11,,,,,3.6E+3,10,,,7935,10
28,37,65Ni,0.0,2.5175,h,5,5/2-,B- = 100.00,-65125.8,5,2137.9,7,-6962.6,21,6098.08,14,12622,20,-8630,3,15755.54,25,24068,4,8736.242,7
28,38,66Ni,0.0,54.6,h,3,0+,B- = 100.00,-66006.3,14,252.0,15,-10620,14,8951.8,15,14110,3,-9553,3,15049.9,15,25615,5,8739.509,21
28,35,63Ni,0.0,101.2,y,15,1/2-,B- = 100.00,-65512.9,4,66.977,15,-4683,19,6837.77,6,11377,19,-7272.8,4,17433.5,3,21170,3,8763.496,7
28,36,64Ni,0.0,STABLE,,,0+,,-67099.0,5,-1674.62,21,-8329,20,9657.46,20,12536,19,-8111,3,16495.23,21,22799,3,8777.464,7
28,39,67Ni,0.0,21,s,1,(1/2)-,B- = 100.00,-63743,3,3577,3,-9443,7,5808,3,14623,14,-10532,5,14760,3,27103,6,8695.75,4
28,30,58Ni,0.0,STABLE,,,0+,,-60228.9,3,-8561.0,4,-1403.6,11,12216.2,5,8172.2,4,-6399.2,4,22463.9,3,14199.7,3,8732.062,6
28,33,61Ni,0.0,STABLE,,,3/2-,,-64222.0,4,-2238.0,10,-2345.8,8,7820.10,5,9860.56,22,-6464.9,3,19207.83,7,18135.0,3,8765.028,6
28,34,62Ni,0.0,STABLE,,,0+,,-66746.4,4,-3958.9,5,-6344,19,10595.7,3,11137.2,7,-7016.1,4,18415.8,3,19911,3,8794.556,7
28,31,59Ni,0.0,7.6E+4,y,5,3/2-,EC = 100.00,-61156.8,4,-4798.4,4,51.01,19,8999.28,5,8598.5,11,-6100.3,3,21215.5,5,15552.8,3,8736.591,6
28,32,60Ni,0.0,STABLE,,,0+,,-64473.2,4,-6128.0,16,-3844.80,21,11387.73,5,9532.38,20,-6291.0,3,20387.01,7,16895.9,3,8780.777,6
28,48,76Ni,0.0,234.7,ms,27,0+,B- = 100.00,-4.22E+4,3,8.8E+3,3,-1.76E+4,6,6.0E+3,4,1.89E+4,5,-1.54E+4,6,9.6E+3,4,3.61E+4,6,8338,4
28,48,76Ni,0.0,234.7,ms,27,0+,BN = 14.00,-4.22E+4,3,8.8E+3,3,-1.76E+4,6,6.0E+3,4,1.89E+4,5,-1.54E+4,6,9.6E+3,4,3.61E+4,6,8338,4
28,49,77Ni,0.0,158.4,ms,+44-39,,B- = 100.00,-3.73E+4,4,1.15E+4,4,-1.65E+4,7,3.2E+3,5,1.90E+4,6,-1.58E+4,6,9.3E+3,4,3.72E+4,7,8272,5
28,49,77Ni,0.0,158.4,ms,+44-39,,BN = 30.00,-3.73E+4,4,1.15E+4,4,-1.65E+4,7,3.2E+3,5,1.90E+4,6,-1.58E+4,6,9.3E+3,4,3.72E+4,7,8272,5
28,49,77Ni,0.0,158.4,ms,+44-39,,B2N ? ,-3.73E+4,4,1.15E+4,4,-1.65E+4,7,3.2E+3,5,1.90E+4,6,-1.58E+4,6,9.3E+3,4,3.72E+4,7,8272,5
28,46,74Ni,0.0,507.7,ms,46,0+,B- = 100.00,-4.870E+4,20,7.31E+3,20,-1.62E+4,4,6.66E+3,20,1.80E+4,4,-1.42E+4,4,1.062E+4,20,3.40E+4,5,8433,3
28,46,74Ni,0.0,507.7,ms,46,0+,BN ? ,-4.870E+4,20,7.31E+3,20,-1.62E+4,4,6.66E+3,20,1.80E+4,4,-1.42E+4,4,1.062E+4,20,3.40E+4,5,8433,3
28,47,75Ni,0.0,331.8,ms,32,(7/2+),B- = 100.00,-4.424E+4,20,1.023E+4,20,-1.47E+4,4,3.6E+3,3,1.80E+4,4,-1.47E+4,4,1.028E+4,20,3.48E+4,5,8369,3
28,47,75Ni,0.0,331.8,ms,32,(7/2+),BN = 10.00,-4.424E+4,20,1.023E+4,20,-1.47E+4,4,3.6E+3,3,1.80E+4,4,-1.47E+4,4,1.028E+4,20,3.48E+4,5,8369,3
28,40,68Ni,0.0,29,s,2,0+,B- = 100.00,-63464,3,2103,3,-12843,5,7792,4,15431,7,-10919,6,13600,3,27974,5,8682.47,4
28,40,68Ni,2.8491,0.86,ms,5,5-,IT = 100.00,-60615,3,2103,3,-12843,5,7792,4,15431,7,-10919,6,13600,3,27974,5,8682.47,4
28,41,69Ni,0.0,11.4,s,3,9/2+,B- = 100.00,-59979,4,5758,4,-1.062E+4,9,4586,5,15625,5,-11186,6,12379,5,28848,5,8623.10,5
28,41,69Ni,0.3210,3.5,s,4,(1/2-),B- AP 100.00,-59658,4,5758,4,-1.062E+4,9,4586,5,15625,5,-11186,6,12379,5,28848,5,8623.10,5
